Sentence,processed_text,Sentiment
"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 .",evidentiary hearing investigation scheduled april may,neutral
Part of the reductions will be made through retirement arrangements .,part reductions made retirement arrangements,neutral
Rio Tinto CEO says iron ore market at equilibrium,rio tinto ceo says iron ore market equilibrium,neutral
The company website is www.ahlstrom.com .,company website,neutral
"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .",acquisition basware preliminary pro forma net sales amount eur mn preliminary pro forma operating profit amounts eur mn,neutral
"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",replay available october following numbers us callers callers access code,neutral
The value of the three-year contract is estimated at EUR40m .,value contract estimated,neutral
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,intuitiv clne gasoline prices spike california http,positive
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,pretax loss totaled eur compared loss eur corresponding period,negative
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",stena poseidon panamax tanker designed able pass narrow passages panama canal locks,neutral
Small investors have voiced fears that the shares will end up with risk investors .,small investors voiced fears shares end risk investors,neutral
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",contract also includes installation work new multistorey carpark close vehicles,neutral
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,company said comparable operating profit period fell short last year corresponding performance,neutral
"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",several growth initiatives chosen geographic areas already ongoing continued noting lindex opened first store czech republic autumn brno,positive
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",deal includes entire personnel planmill oy transfer new company old employees,neutral
"Kiosk and cinema operations have suffered , in particular .",kiosk cinema operations suffered particular,negative
"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",besides depositor preference finland senior debt deposits rank par also taken consideration agency added,neutral
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",latest result included charges cents stock compensation cent research development cent strategic investments,neutral
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,pretax loss totalled eur mn compared profit eur mn,negative
Net sales have been eaten by the weak US dollar .,net sales eaten weak us dollar,neutral
"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",achieve synergy targets related acquisition vaisala consolidating manufacturing depot data services finance activities currently located uniontown pennsylvania louis missouri durham north carolina,neutral
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",earnings per share increase,positive
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",divestment line company plans focus selected growth segments streamline corporate structure company explained,positive
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,border guard service banned mooring company ferry test travel terminal russian port border checkpoint yet ready,neutral
Asian traffic declined by 3.4 per cent .,asian traffic declined per cent,negative
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neste shipping likely remain finnish oil sector transports significant emergency supply,neutral
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,diluted earnings per share eps declined eur eur,neutral
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,investors move bln euros assets axa fund arm,negative
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",purchase price paid cash upon closure transaction scheduled april,neutral
"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",group sales period eur million eur million profit taxes eur million,neutral
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",advertising circulation revenues grew respectively,positive
Tesco share price steady as analysts weigh in on results,tesco share price steady analysts weigh results,neutral
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,finnish metal products company componenta oyj net profit went slightly mln euro mln first half mln euro mln period,negative
YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,yit construction town signed lease contract whereby town occupy travel centre office facilities,positive
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,alert new rsi signal created cost buy time strength powered https,positive
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,eur million expenses recorded third quarter,neutral
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",sales local currencies decreased percent number subscribers rose million total million end fourth quarter company said,neutral
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,operating loss amounted eur mn first half compared profit eur mn first half,neutral
"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",relocation ragot already started completed next weeks waterqueen tortue moves planned vmc europe third quarter,neutral
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",company plans close two three lines plant jobs threat,neutral
"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",worm set activate friday corrupt documents using common file types including,neutral
CompaniesLSE adds ex-SEC head Schapiro to board,companieslse adds head schapiro board,neutral
Panostaja did not disclose the purchase price .,panostaja disclose purchase price,neutral
"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",group net sales eur million employs people countries,neutral
The first stage of the contract covers 133 stores and 600 cash registers .,first stage contract covers stores cash registers,neutral
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,internet companies may ripe takeover target twitter twtr linkedin lnkd yahoo yhoo groupon grpn,positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,shares nokia rose thursday cell phone maker said earnings almost doubled share global handset market increased,positive
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",know back seat sit tsla tesla recalls model x cars https,negative
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,athn seems like good short setup stop day position,negative
"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",russia raisio food division home market stretches way vladivostok,neutral
The financial details of the acquisition were not disclosed .,financial details acquisition disclosed,neutral
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",adp news feb finnish solutions provider affecto oyj hel said today net profit rose eur million usd eur million,positive
"Aviva, M&G suspend property funds as investors panic",aviva g suspend property funds investors panic,negative
"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .",airline targeting travel agents tour operators travel management companies raise awareness first targeting consumers added,neutral
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,finnish automation solutions developer cencorp corporation omx helsinki reported thursday november operating loss net sales period january september,neutral
Both the net sales and operating profit were record high in the company 's history .,net sales operating profit record high company history,positive
"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",one one time targeted june guess pushed back maybe crazy feel like leaked enough meet date point,neutral
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",operating profit items eur mn first nine months compared eur corresponding period,neutral
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",operating profit net sales period increased respectively compared corresponding period,positive
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",small firms suffering moment likely money trouble added,neutral
"The competition was received with great enthusiasm by the employees , he goes on .",competition received great enthusiasm employees goes,positive
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper companies negative territories stora enso r shedding pct eur pct eur b pct lower eur,negative
"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",maggie ramsey wait thousands oregon washington guides anglers others flock frequent seminars nearly,neutral
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",omx helsinki index pct turnover mln eur,negative
"Kiosk and cinema operations have suffered , in particular .",kiosk cinema operations suffered particular,neutral
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",nokia said still expects sell million symbian devices years come giving indication expects phone handoff work,neutral
Subscription sales decreased slightly .,subscription sales decreased slightly,negative
"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",group consolidated net sales totaled billion euros employs approximately persons,neutral
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,april group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj,positive
$RNN staying above the open a very good sign!!!,rnn staying open good sign,positive
A comprehensive range of cut-to-length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .,comprehensive range slitting services allow ruukki particular serve light engineering customers relocate production petersburg area,neutral
The new policy was also aimed at making the companies more profitable and competitive .,new policy also aimed making companies profitable competitive,positive
"Centrica extends gas deals with Gazprom, Statoil",centrica extends gas deals gazprom statoil,positive
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",finnish food workers union sel plans hasten collective bargaining strike would begin april finland,negative
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",building house example respecta oy jyvaskyla premises well companies announced later says samuel koivisto director technopolis operations jyvaskyla,neutral
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",compagnie de financement foncier issue benchmark year covered deal euros,neutral
$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,etn upgrade today ms overweight excellent company leadership,positive
The appointments will be in force until the new CEO has been appointed .,appointments force new ceo appointed,neutral
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",omx helsinki index pct turnover mln eur,neutral
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",hk ruokatalo accounts poultry sales finland profitability good level,positive
"Tikkurila has an interesting growth strategy , which we support .",tikkurila interesting growth strategy support,neutral
"The total headcount reduction will be 50 persons , the company said .",total headcount reduction persons company said,neutral
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,tsla announces recall stock sell stock teflon wo last forever,positive
"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",estimated value contract vaisala headquartered helsinki finland develops manufactures electronic measurement systems meteorology environmental sciences traffic industry,neutral
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,turnaround buys bhp billiton plc home retail group plc,positive
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,pivotal research upgrading googl buy https stocktrading,positive
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,sales tiimari segment fell june,neutral
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",choose efficient best overall value option customers already bidding stage,positive
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,new recommendation carl kirst bmo capital markets wmb target http,positive
"The maximum obligated total trades per day is ISK 400,000,000 market value .",maximum obligated total trades per day isk market value,neutral
Each share is entitled to one vote .,share entitled one vote,neutral
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,citigroup sell onemain springleaf billion,positive
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,peigs become part sardus latta maltider light meals unit,neutral
"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",solution selected low fuel consumption environmentally sound technology global service support,positive
"According to Heikkil+ñ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .",according refreshment energy soon found soft drinks also finland,neutral
The order was valued at USD12 .2 m.,order valued,neutral
The contract is worth some EUR 1 million .,contract worth eur million,neutral
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",adp news nov finnish retail software developer aldata solution oyj omx said today swung net profit eur million usd first nine months versus net loss eu,positive
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",operating profit totalled eur mn eur mn year,neutral
The company reiterates its outlook for 2009 .,company reiterates outlook,neutral
"Product deliveries will not be interrupted , the refiner said , giving no financial details .",product deliveries interrupted refiner said giving financial details,neutral
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,issue came connection discussion local municipalities concerning sale water industrial facilities,neutral
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,growth net sales first half compared first half,positive
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",harold young independent broker working closely several retailers including ahold usa market basket cvs bj wholesale club hannaford cumberland farms,neutral
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,academics claim google android authentication breakable security authentication hacking goog https,negative
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",initially company said maximum people would made redundant parent company subsidiaries,negative
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,new kveyt light variety suomalainen pekoni marketed atria brand name available consumers finland,positive
"`` I 'm happy with the outcome , '' Sneed said after the hearing .",happy outcome sneed said hearing,positive
Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,supermarket stocks rally tesco plans axe uk assets tsco https,positive
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",last year company raised turnover approximately million litas eur mln million litas,positive
The company said that the fall in turnover had been planned .,company said fall turnover planned,negative
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",decision means temporary fixed duration company nastola jyvaskyla units southern central finland respectively,negative
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",next years ict sector share electricity consumption raised increase popularity smartphones,neutral
"The total value of the agreement is USD4 .0 m , the company said .",total value agreement company said,neutral
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",fair value investment properties totalled eur mn compared eur mn corresponding period,positive
"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",body es vostok also owns stakes power sales companies mosenergosbytbody rts mssb altaienergosbyt saratovenergo rts sare body tambov power sales company rts tasb ofbodywhich received distribution balance,neutral
Germanwings disaster will not affect image of budget air travel - easyJet,germanwings disaster affect image budget air travel easyjet,neutral
UPDATE 1-BP shareholders back more disclosure on climate change risks,update shareholders back disclosure climate change risks,neutral
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",bilfinger investors cheered agreement pushing shares euro euro afternoon trade,positive
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,contract includes option deliver additional ascs next phases project,neutral
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,amazon declares ever black friday cyber monday kindle family http via engadget amzn,positive
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",nokia continue invest future development qt digia responsible commercial licensing services business,neutral
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,stockmann earned million lats profit million lats turnover,neutral
Intertek Group announces strategic update outlining its plan,intertek group announces strategic update outlining plan,neutral
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",turnover surged due increasing service demand especially third quarter overall growth business,positive
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",eu regulators clear ab inbev sabmiller deal,positive
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,update reiterates annual outlook tough,neutral
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",target company tieto corporation business identity code date change holding january portion shares votes current group holding group central cooperative opk shares represents shares voting rights,neutral
Exel wants to serve its industrial customers with individual products .,exel wants serve industrial customers individual products,neutral
The measures taken will cause one-time costs during the final part of 2006 .,measures taken cause costs final part,neutral
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,demanding new board company well discussions merger alma media media company talentum,neutral
Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,vaisala expertise lightning data information systems based extensive experience investment r,neutral
As a result some 20 persons will no longer be needed .,result persons longer needed,negative
Sales increased due to growing market rates and increased operations .,sales increased due growing market rates increased operations,positive
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",frost sold shares million per share compared friday high low,negative
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",chkp abc bullish pattern targets https,positive
Sanofi poaches AstraZeneca scientist as new research head,sanofi poaches astrazeneca scientist new research head,neutral
$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,nsm ascending base breakout starting gain traction strong stock http,positive
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",stora enso net loss eur million compared eur million previous year,neutral
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",sales came mln eur compared mln also beating consensus forecasts mln eur,positive
Active shipping is essential for Finland .,active shipping essential finland,neutral
"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",tsla lots green min watch hourly possible resistance currently,positive
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,deal process cranes russian steel mill pntz pervorouralsky order placed turkish construction company gama endustri tesisleri imalat montaj,neutral
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",months ago teva vice chairman phillip frost marathon venture capital fund tase mara sold protalix shares,neutral
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",estonian electronic components factory elcoteq running material closure air traffic,negative
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",bp statoil withdraw staff algeria following rocket attack,negative
Competition authorities will have to approve the deal before it can be finalized .,competition authorities approve deal finalized,neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,koistinen joins nokia siemens networks held various senior sales management business development positions since,neutral
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,fb churning high volume ipo price lot sellers trying get might take consolidate moving higher,negative
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",finnish scanfil contract manufacturer systems supplier communication industrial electronics reports net sales eur mn first half eur mn year earlier,negative
Sales of security and system packaging increased slightly .,sales security system packaging increased slightly,positive
"Typically , the transmission power level can be decreased when the interference noise is above a predefined value .",typically transmission power level decreased interference noise predefined value,neutral
"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",operating profit period decreased net sales increased compared corresponding period,negative
"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",according tiimari consumers advised cut away rabbits bow tie contains formadehyde dispose,neutral
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",deal covers stockmann auto oy ab sales services concerning volkswagen audi helsinki espoo vantaa,neutral
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,asahi could snap sabmiller beers ahead ab inbev sale,positive
"Previously , the plant was expected to be completed by the end of 2008 .",previously plant expected completed end,neutral
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",part finnish paper maker metsaliitto group due release report around eet august,neutral
Capital base and capital adequacy measurement is based on approaches under Basel II .,capital base capital adequacy measurement based approaches basel ii,neutral
"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",dividend paid april shareholders record date april entered list shareholders kept finnish central securities depository,neutral
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",deliveries nokia nokia nokia expected start second quarter,neutral
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,tsla love types articles ss interest rose day hit lows http,negative
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",lining stone sales also good early autumn order books strong end year,positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",buy jumbo yielders british american tobacco plc centrica plc john wood group plc,positive
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,licenses games cost little purchasing game outright cost much,neutral
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",extensive also bolster sysopen digia position domestic operator market kallioranta adds,positive
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",according ceo nordea bank estonia vahur kraft nordea finland stockmann cooperating ten years,positive
The volumes are expected to increase during the next few years .,volumes expected increase next years,positive
"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",maybe closing aapl calls morning bad idea money left table,positive
Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,incap estimates generate revenue mln euro mln indian operations,neutral
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",additionally company use solutions automate preparation financial statements according ifrs standard,neutral
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,cash flow operating activities investments eur million eur million,neutral
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,lemminkainen talo oy lahti office significant logistics business premises constructor,neutral
$NUGT longer term bullish,nugt longer term bullish,positive
"shock phase ' , consumers have once again started to plan and implement building projects .",shock phase consumers started plan implement building projects,neutral
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",founded fiskars years product quality excellence finland oldest company,neutral
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",biohit said reduce number leased personnel lay personnel,negative
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",scanfil systems supplier contract manufacturer communications sector start personnel negotiations oulu finland lay staff temporarily,neutral
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",omx nordic index comprising traded nordic stocks nasdaq omx exchange closed points thursday,neutral
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",excluding items profit surged,positive
"Also , a six-year historic analysis is provided for these markets .",also historic analysis provided markets,neutral
This amount will not be included in the pensionable salary .,amount included pensionable salary,neutral
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,aapl aug calls http,positive
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",company operating loss totalled eur mn compared profit eur mn,negative
Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,finnish rautaruukki engineering division ruukki engineering operations mo rana plant norway,neutral
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",ensure low operational cost radio networks bts modules configured software upgraded diagnosed remotely,positive
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",company result taxes continuing operations excluding items totalled eur mn compared eur mn corresponding period,neutral
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,ceo company tarmo noop said growth sale premium beers biggest,positive
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,finnish fibers plastics producer suominen corporation omx helsinki reported wednesday october operating loss net sales third quarter,neutral
Deliveries have started and the network will be ready for a launch soon .,deliveries started network ready launch soon,positive
"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",alexandria erkki aho elimaki finland developed method apparatus conjunction shoe press,neutral
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",sales improved sek mn compared sek mn,positive
Net sales fell by 5 % from the previous accounting period .,net sales fell previous accounting period,negative
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",last year upm cut production closed mills finland slashed jobs,neutral
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,japan asahi submit bid next week sabmiller grolsch peroni yomiuri,positive
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",operating result showed loss eur mn year showed profit eur mn,neutral
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",operating loss items eur mn compared profit eur mn,negative
What would you like to see changed on Nokia 's next attempt ?,would like see changed nokia next attempt,neutral
The company will release its 2010 results on 11 February 2011 .,company release results february,neutral
"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art .",scissors fiskars part permanent design collection museum modern art new york well philadelphia museum art,neutral
And U.S. energy executives say high steel prices are threatening energy exploration .,energy executives say high steel prices threatening energy exploration,neutral
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",currently yit builds housing estate zapadnye vorota square metres city house square metres completed end,neutral
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",fiskars world scissors brand tm recently learning magazine teachers choice award classroom,positive
